id;tweet;label
28;@SandyMILF2 Estas hermosa saludos desde atizapan de zaragoza;NEU
29;Que Adela. Noriega REGRESA A LAS TELENOVELAS;NEU
30;@PatriotaNene Pues que se jodan en Aragón. Cada uno tiene lo que vota;NEU
31;@batallon614 @ClubNecaxa Felicidades Batallón y que pronto celebremos muchas estrellas más;NEU
32;@heraldoes Yarza rata asquerosa!!!! Orlegi única opción 😡 https://t.co/JcVQJOD93B;NEU
33;@wigoSports Yo creo que se fue cuando venía el heraldo jajaja;NEU
34;“Despacito, suavemente;NEU
35; dulcemente;NEU
36;" tiernam… https://t.co/F0zLO2my8x""";NEU
37;Y yo mejor leo.... ;NEU
38;Ese pijama anaranjado de María/Angélica 😍🧡🧡🧡#MiradaDeMujerElRegreso #MiradaDeMujer                              Ang… https://t.co/5mmDmeRO4t;NEU
39;Mi casa te está esperando... ;NEU
40;Voy a twittear algo muy de cornuda pero lo extraño mucho a Nico 😪❤️;NEU
41;Concejal de Zaragoza, Alberto Cubero defiende a la Revolución cubana ant... https://t.co/18mRMV8MVS via @YouTube;NEU
42;El grupo inversor de EE. UU. ultima una oferta vinculante por el @RealZaragoza https://t.co/KviRFzBXJl vía @heraldoes;NEU
43;@heraldoes Si no surgen contratiempo... Somos el Real Zaragoza todo puede pasar;NEU
44;Paulina revolcándose en la tumba...;NEU
45;@Basketball;NEU
46;@jesus_solis Jaja 😅 ay pobrecito les ha costado tanto hacer sus empresas con el heraldo público :(;NEU
47;Angélica Aragón ;NEU
48;SETROI NOTICIAS. Soria ¡Ya! defenderá en las Cortes de Castilla y León las necesidades de otras provincias.… https://t.co/JBuaX4YyxX;NEU
49;Angélica Aragón ;NEU
50;♻️ La vaca marina que vivió en Huesca hace 42 millones de años... https://t.co/5i39GwEjLj;NEU
51;@vlc_JI @sabina66801497 @Tomillar63 @Morafanova @POZI1972 @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/aZPNzVwdOv;NEU
52;Literal como Romeo y Julieta;NEU
53;@ACV___ @KamiKaz67046218 @PepHernandez4 @goriladalazi @DanielRodOrd @sabina66801497 @POZI1972 @FreeyellowMarta… https://t.co/C4T4oGY34d;NEU
54;@PepaRivas2 @vm_patri @SILBEMOSF Así es. Molesta, pq entra en crisis el paciente. Se escudan en q no le pueden ayud… https://t.co/ClXNRGnxb7;NEU
55;Angélica Aragón ;NEU
56;@goriladalazi @PepHernandez4 @ACV___ @mestel9 @CtzenCaneSpain @FreeyellowMarta @DanielRodOrd @vxerocomunista… https://t.co/ovSCwsNqOd;NEU
57;@EvaMariaPardo Sí, puede ser. Sobre la una llegan a Zaragoza las que salen de aquí sobre las once.;NEU
58;No se donde queda Zaragoza, ni cuando abrio su cine, lo que si se es que el hilo de donde salio esta captura, es un… https://t.co/0V7YmATDBH;NEU
59;Angélica Aragón ;NEU
60;@Sole85Uru Lo que es ser fan de Angélica Aragón jaja 🥰❤️;NEU
61;Ay!!! Por poco y lo cacha Nacho... jajaja;NEU
62;📅 Hoy, 17 de febrero🕡 18:30h. ;NEU
63;Zaragoza, España;NEU
64;@vlc_JI @sabina66801497 @Tomillar63 @Morafanova @POZI1972 @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/OyJTCfXauI;NEU
65;Problemas acrecentados por la pandemia de Covid-19, como el desabasto de medicamentos y un menor acceso a la atenci… https://t.co/8gPUZY4xOn;NEU
66;El Ministro de @SaludSV, @FranAlabi, informó que mañana, jueves 17 de febrero, se desarrollará una jornada de tamiz… https://t.co/fEQsmIa9Kt;NEU
67;@ricardomraphael @AdrianLarisC @heraldodemexico Que gusto saber que por lo menos ya no te tendremos en el Heraldo,… https://t.co/eQu6u0hfah;NEU
68;@SoyVixen @elbauldj En mina bajando de zaragoza hacia Méndez a unos metros de zaragoza.;NEU
69;@sabina66801497 @Tomillar63 @Morafanova @POZI1972 @vlc_JI @DanielRodOrd @CtzenCaneSpain @il_lustre @ACV___… https://t.co/TbGmo5bQfP;NEU
70;👉 El termómetro oscilará entre los 10 grados de primera hora de la mañana y los 19 de primera hora de la tarde;NEU
71;Zaragoza;NEU
72;Ya que estén juntitos los cuerpos...😏😏😏😍😍😍;NEU
73;@Lobita_Aragon @Valentnalopez1 Y a bad bunny por qué?;NEU
74; sacrifícate tú;NEU
75;@OHarfuch:Scrio Apostol, le dio franca y descanso el dia de hoy, para la velada a todos los polis de los equipos d… https://t.co/8Xbuq9x8y9;NEU
76;@TangerinSmorgas @Yareli_Garcia0 Si, es la de Carmen y está súper bonita esa foto...;NEU
77;@Team_Aragon Así que le vas bajando;NEU
78;@blanquiss_b cállate 😅😅;NEU
79;@cami_huesca si chuy;NEU
80;tú tan fuckboy, yo siempre tan buena;NEU
81;Mira Jerónimo la tribu Ojoreña somos un chin...muchos!!! 🤬🤬;NEU
82;@ayudaizzi buenas noches en la colonia valle de Aragón 1a sección hace más de dos horas que se cayó el servicio de… https://t.co/yYvWWdXosH;NEU
83;La tribu.. somos muchos;NEU
84;Descansa..... Buenas noches linda señora... ;NEU
85;En ese momento Cell sintió el verdadero terror... 😱😱;NEU
86;Marcos Menchaca cásate conmigo;NEU
87;Jajaja pobre, se le juntan en la casa.. ;NEU
88;@RNMX_Oficial Y Angélica Aragon ? 😢;NEU
89;prq si no es contigo no es con nadie masss;NEU
90;@ivetteae MAS mercado de autoservicio, existía  por Ignacio Zaragoza y Aeropuerto;NEU
91;@Pepetonozam No, más bien esta cerca de donde está la estación de bomberos. Está por la calle Ignacio Zaragoza. ;NEU
92;México 🇲🇽;NEU
93;Y válgame... Válgame el señor que hermosa esta Angélica Aragón.;NEU
94;Vi el tweet del Heraldo de la encuesta a gobernador a Oaxaca y la gente andaba de clasista diciendo que por eso no… https://t.co/XuvTjNP02X;NEU
95;!ay¡ Paulinita.... Ay Paulinita.... ;NEU
96;@Soccer;NEU
97;@RubiaYPoderosa @LauSaraiii Si lee el resto de las respuestas y comentarios, verá que si autorizó y hasta mostró la… https://t.co/mkmLE7FKcH;NEU
98;Por amistad, Vero, cuidarnos a Don Oso un ratín... 🤏🏼🤏🏼🤏🏼;NEU
99;Un mal momento no equivale a un mal día.;NEU
100;@mendezLopezg1 XD es que le ganaron los celos ;NEU
101;XD practicando para pegarle a Alejandro... ;NEU
102;@LauSaraiii Esperando ver las redes sociales de su manicurista...;NEU
103;@AsiEsMonterrey El patio por la calle Zaragoza;NEU
104;Alexa, ¿qué es la belleza? ;NEU
105;♻️ La vaca marina que vivió en Huesca hace 42 millones de años... https://t.co/OJFPMc7KJE;NEU
106;@silfide_pleyade @LauSaraiii @draninanoreen Cómo eso es clasista?? 😅;NEU
107;@RenJustRen @__monicaaaa_ Un dude en el grupo de CCH Vallejo dijo que sacaran algo o iba a ir al Shein, en realidad… https://t.co/cCqN4dIFqj;NEU
108;@OHarfuch: Secretario, el C1 Del Pueblo De San Juan De Aragon (Prioritario), La señora Flor Madrid Utiliza a los 3… https://t.co/8lTIS9s0jM;NEU
109;@adelaidosa_ @LauSaraiii Y la sirenita!;NEU
110;@Zabdi_huesca @tutiofifa @isydrox @Adr1anefYT @maniako57_ws Como te va ese ronaldo bro;NEU
111;Hermosa! Angélica Aragón 😍🥰;NEU
112;@RezaAzul0 @varllaga7 @JLUIS_CUEVAS No te confundas celebramos la entrega y disposición de nuestro equipo que peleo… https://t.co/8sjOi773tE;NEU
113;Día 141 viendo #MiradaDeMujer ;NEU
114;Seré heraldo de buenas noticias...;NEU
115;#ULTIMAHORA #covid ;NEU
116;" San Salvador // Frente a Maxi Despensa San Bartolo y Par… https://t.co/1FUgpaIyew""";NEU
117;💕⭐️AA⭐️💕             #MiradaDeMujerElRegreso #MiradaDeMujer                             Angélica Aragón https://t.co/qBbZYGoH8m;NEU
118;Eso me recordó...;NEU
119;" Ignacio""""...";NEU
120;"@marpec27 Aguado en cada jugada , y que decir del ""Cuco"" corre raro no tiene intensidad y tampoco es letal en el ár… https://t.co/jYkRiF3tAU";NEU
121;Una mujer muere tras prenderse su pelo con un cigarro en una residencia en Santa Fe: https://t.co/xdK38FC484;NEU
122;Angélica Aragón ;NEU
123;@gaditana1989 No porque siguen hablando los de aragon a voces;NEU
124;2. Puebla de Zaragoza;NEU
125;The user @𝗷.𝗺, @𝗮𝗯𝗰𝗱𝗲𝗳𝗴𝗵𝗶__𝗹𝗺𝗻𝗼𝗽𝗾𝗿𝘀𝘁𝘂𝘃𝘄𝘅𝘆𝘇 and @𝗿𝗸𝗶𝘃𝗲 do not know the mess of emotions that their smiles cause me.;NEU
126;Y a toparse otro Rompepelotas en Av Centenario (Eje 1 Oriente) cruzando Oriente 157, → Norte. Lo zanjáis por San Ju… https://t.co/Q5BMsJ20Mj;NEU
127;@xit_zaragoza @AndiheC @FatimaAleG @AlexaGissara Nos llaman las puercas jajaja https://t.co/gsikqMarRf;NEU
128;Angélica Aragón;NEU
129;Empiecen a ir cada fin de semana a pasear a Tepito, Milpa Alta, Tlahuac, Ecatepec, Neza, Aragón y suban sus fotos c… https://t.co/CEAPVKv2DF;NEU
130;Estamos al aire...;NEU
131;El puto trio de aragon impide que rafa duerma en la naranja. Que ganas de echarlos;NEU
132;Alch Aragon fue mi primer crush cñor.;NEU
133;Angélica Aragón ;NEU
134;En El Heraldo Deportes Jalisco tenemos información de Champions League, Concachampions, Mazatlán-América, Atlas, An… https://t.co/FIsoRTpp5W;NEU
135;🟡 Las bajas de dos titulares como Navas y Loiodice imponen darle otra vuelta al equipo;NEU
136;" que hoy se ejerci… https://t.co/OTCpoRYBDd""";NEU
137;@OHarfuch: Buena Noche Secretario, esto sucede a diario, en el cuadrante # 1 del pueblo de san juan de aragon, peri… https://t.co/78m5GhGxRp;NEU
138;Extraño a mi mejor amiga y a su mamá :((;NEU
139;@ReydelaSelva84 Si, la verdad súper actor, el italiano que la hace del papá también actúa muy bien, Angelica Aragón… https://t.co/shKiZP0rD4;NEU
140;@elheraldoco No tienen ni idea de la verdadera realidad de violencia de Colombia y sus causas. Heraldo no haga eco… https://t.co/nIVDUesjEr;NEU
141;Ministro de @SaludSV, @FranAlabi, informa que las cabinas móviles estarán en:;NEU
142;" San Salvador // Frente a… https://t.co/GJpeYVSE4W""";NEU
143;@Karol_Ariaas Ese es otro nivel :’v;NEU
144;#DePaís | En el Tribunal Primero de Sentencia de Santa Tecla, son enjuiciados tres miembros de la pandilla 18, por… https://t.co/PcewcxR4Io;NEU
145;🚨Servicios de emergencia trabajan por motociclista accidentado sobre Blvd. Puerto Aéreo y Calz. Ignacio Zaragoza, c… https://t.co/Wr32U9lBjE;NEU
146;@J_Zaragoza_ Cordón sanitario a los asesinos de ETA y a sus socios, como el PSOE;NEU
147;Madrid - TOledo;NEU
148;Me informan que el bosque de Aragón no tiene canguros ni koalas que abrazan balones de futbol.;NEU
149;" oh decepción.""";NEU
150;eale, pa rematar el día, perdí la cajita de mis airpods en un vía zaragoza 😀;NEU
151;@berenixe_07 @kazteny_bravo amén;NEU
152;si extrañaba ir a entrenar;NEU
153;@FuerteAzul09 Mejor q le den oportunidad a Huesca;NEU
154;como hablen de Teruel a Adri por fin cuente lo suyo y no lo estemos perdiendo, no lo voy a perdonar jamás  #secret;NEU
155;@Encuest4sFutbol Esteban rolon y lautaro teruel;NEU
156;#NRSV |😷Mañana hará pruebas para detectar #COVID19 en:;NEU
157;" San Salvador // Frente a Maxi Despensa San Bartol… https://t.co/7haC4iy84g""";NEU
158;cero chidisimo eso ehh;NEU
159;@AdrianLarisC  Es increíble que también El Heraldo de México, muestre su miedo ante la 4T, al despedir a Ricardo Ra… https://t.co/5aOm19imWJ;NEU
160;@xiaraa_huesca claroooo q no 🥸;NEU
161;intentaré enamorarte todos los días que pasen;NEU
162;Buen día #Aragón. Hoy en #Teruel poco nuboso, con max de 19º y min de 4º.  En #Huesca #Uesca poco nuboso, con max d… https://t.co/PtNQwCOePw;NEU
163;@contralinea @nancy_contra Pos ya lo corrieron de El Heraldo , ya ves lo que provocan Nancy?? https://t.co/tIr7v2bTJx;NEU
164;@Ecatepec En colonias como la nueva Aragón años sin servicio de agua las pipas particulares abusan con sus precios… https://t.co/NWQURbsUDb;NEU
165;Mañana, 17 de febrero, el tamizaje comunitario será:;NEU
166;" San Salvador // Frente a Maxi Despensa San Bartolo… https://t.co/aLrROPF0pk""";NEU
167;@ricardomraphael @CarlaEUrenaA @INEMexico @lopezobrador_ @JesusRCuevas @Adela_Micha y @maca_online hablarán mañana… https://t.co/QpCQrB3kr5;NEU
168;@fchiguil @lopezobrador_ Y cuando van a terminar el bosque de Aragón que desde que estuvo tu jefe y no han podido t… https://t.co/5pz2m88SLs;NEU
169;@ricardomraphael @AdrianLarisC @heraldodemexico Caray, Heraldo. ;NEU
170;@cndromeroo Me enamoras cada día mas... 😍😍😍;NEU
171;@marcio_teruel @CDeportivoFAS Grande Marcinho, abrazos de gol !!!;NEU
172;Todos sabemos que hoy Adri se entera de lo de Teruel;NEU
173;@mestel9 @vxerocomunista @ACV___ @vlc_JI @PepHernandez4 @Juanma_Saez @POZI1972 @FreeyellowMarta @DanielRodOrd… https://t.co/9vTs3i9tfr;NEU
174;siempre noooo;NEU
175;¡PRIMER CONGRESO DE INFLUENCERS! ;NEU
176;" será el primer congreso de Marketing de Influencia de España. Se… https://t.co/GJ5sG9FijH""";NEU
177;@marcio_teruel @CDeportivoFAS Grande Marcio;NEU
178;El tiempo en #Zaragoza ahora. Temperatura: 11 Condiciones: Partly Cloudy Velocidad del viento 18 Dirección del vien… https://t.co/nyRD5sL3Nz;NEU
179;🚨 Atención vecinos de la Alcaldía Gustavo A. Madero  @TuAlcaldiaGAM, el próximo;NEU
180; 4:30 pm;NEU
181;El fallido ataque de José Zaragoza (PSOE) a Pablo Casado (PP) https://t.co/YcI6paZeyt;NEU
182;En su visita por la entidad, el Cardenal Alberto Suárez, pidió a las autoridades encargadas de la seguridad pública… https://t.co/eOIWolNlel;NEU
183;#AHORA | #ElHeraldoRadio;NEU
184;@mag_aragon Se me cayó en la calle 🥲;NEU
185;el q dijo y no hizo no pudo;NEU
186;@AsiEsMonterrey Kodak en la esquina de Padre Mier y Zaragoza;NEU
187;@Joanfer2004_Win @tutiofifa @isydrox @Adr1anefYT @maniako57_ws La verdad muy bueno ese Davies te marca mucho en defensa;NEU
188;El equipo de EL HERALDO Plus le muestra en la siguiente serie de gráficos los homicidios registrados desde el 2013… https://t.co/I4RKOgi12G;NEU
189;☀️ Jaime I de Aragón: el rey que nació de una conspiración y cuyo nombre decidió un curioso ritual... https://t.co/ggwxqO0avm;NEU
190;@telmex @TELMEXSoluciona hola buenas noches. Disculpen, pero no tengo servicio de internet desde hace varias horas.… https://t.co/NOaRwmelHM;NEU
191;@zaragoza_salma @lupitodrn Manifestando;NEU
192;@Tonicanto1 Imagínate que estamos en la Batalla de Teruel, bueno como dice la historia contraatacar y ganar !!!!;NEU
193;@peremayol @JCMarti10365592 @ElHuffPost ..y digo Corona de Aragon y no Corona de Cataluña, es como condados unidos… https://t.co/YmICDwX0b3;NEU
194;José María: “En Aragón todo termina en ico menos el choricico que termina en cuerda” https://t.co/my49bfVEzF;NEU
195;@ISSSTE_mx @usuarios_issste La atención es muy pero muy deficiente, el director o directora del HOSPITAL ISSSTE ZAR… https://t.co/UlfXK6C80i;NEU
196;@peremayol @JCMarti10365592 @ElHuffPost Lo que usted denomina erróneamente nación para referirse a Cataluña eran si… https://t.co/l6LeqvHSIY;NEU
197;@FabulosoJoe Somos, AMO jajaja;NEU
198;Michael Jackson enamorando a las enfermas de Zaragoza de España 🥺❤ #MichaelJackson https://t.co/YAEwcYkhID;NEU
199;@LaSEMOVI buenas noches, 25 minutos esperando transporte del corredor de potrero a bosques de aragon  y no hace par… https://t.co/SGX1cpRHkE;NEU
200;@beltrandelrio En Aguascalientes capital, Av. Siglo XXI esq Av. Zaragoza.;NEU
201;@ricardomraphael @AdrianLarisC @heraldodemexico El heraldo se está alineando al kks....  creo, sacaron a Adela de r… https://t.co/UHE8SodltL;NEU
202;@GobNeza El camion se encuentra en prados de pirules #22 Col.Prados de Aragon Nezahualcoyotl Edo.Mex C.P 57179;NEU
203;@_VicenteSerrano @CiroGomezL @ImagenTVMex Pero ahora gritan otra vez CENSURA!! porque ya corrieron a Ricardo Raphael de El Heraldo 🤦🤪;NEU
204;@aragon_pauli Sí soy;NEU
205;@futbolretroes Marco un gol de falta directa al Barcelona, que le dió un título de copa del rey al Zaragoza...;NEU
206;@jperezarellano @RICH_ARAGON Que lamentable que se sienta por encima de la ley y de todos.;NEU
207;@Zabdi_huesca @Marcelo84154846 @Mr_InvisibleO @tutiofifa Si la mayoría va en el 35, claramente 41 está bien.....;NEU
208;@karladiazOF @pinkypromisetv Danna, Anahí, maca, maybe mariana Rodríguez, Mariana Zaragoza, aprovechó para decir q… https://t.co/J8GHyRWTOA;NEU
209;@Lolita_Dolores_ Uff que putita tan consentida;NEU
210;@ricardomraphael @AdrianLarisC @heraldodemexico También el Heraldo?, Hay que dejarlo de seguir, oír y leer, que pen… https://t.co/OfnbBaEBDv;NEU
211;💡📷 Esto es un poco de nuestro Taller de Iluminación para retrato, con Kristian Zaragoza.;NEU
212;@GerCarrasco90 @ricardomraphael Y que lo despidan de su trabajo en El Heraldo, también.;NEU
213;@chiririvas Exactamente,ya no es atractivo y por supuesto, ya no es negocio el pensar en invertir en mi país,el mis… https://t.co/q2mUZf9E7s;NEU
214;yo sabiaaaa 😹;NEU
215;@Aurantiacum @PepHernandez4 @Tomillar63 @sabina66801497 @vlc_JI @POZI1972 @BEsquiliche @CtzenCaneSpain @ACV___… https://t.co/5LEU2ZXDHH;NEU
216;en este perfil amamos quedar como pendejas;NEU
217;@aragon_memes @aleons13 @aleons13 pizza &amp;NEU
218;@xiomaraeacosta Lo de char lo pidió en heraldo...;NEU
219;@irene7621 Estas en Guadalajara?;NEU
220;@Aurantiacum @PepHernandez4 @Tomillar63 @sabina66801497 @vlc_JI @POZI1972 @BEsquiliche @CtzenCaneSpain @ACV___… https://t.co/xTHyBm2PzT;NEU
221;@BomberosSV  por favor ayuda con el incendio carretera al Puerto ( antes de Zaragoza ). Está creciendo rápidamente.;NEU
222;"El presidente municipal de Zaragoza @ManuelPerez099 dijo ""apoyaremos a las familias de los lesionados y realizaremo… https://t.co/g8uHotSm9x";NEU
223;@AlexCastilloD @teruel_andres TQM Alex 🥺💛 aquí seguiremos intentando!;NEU
224;@Leonlec Petardazo de jugador;NEU
225;@JuanGIracheta2 @AsiEsMonterrey Estaba o por Padre Mier o Morelos tramo Escobedo y Zaragoza, era un local de unos 4… https://t.co/tdMKWieJNd;NEU
226;ZARAGOZA  -  Necesita  3  Docentes rama sanitaria.:;NEU
227;A Coruña, Galicia;NEU
228;Todos los bares afuera de la FES Aragón. https://t.co/zJu5z4teii;NEU
229;Esto me recuerda que dentro de las nefastas eliminatorias que tuvimos, el panorama de los peruanos en el extranjero… https://t.co/e5HvZ4VeYh;NEU
230;Para un mejor manejo de la crisis de Houston | El Heraldo de México https://t.co/QLeDbNZXI7;NEU
231;@marcio_teruel @CDeportivoFAS Gran jugador y amigo. Siempre serás parte del club amigo Marcio 🐯🔴🔵;NEU
232;@CarmenAColeman @lopezobrador_ @SSaludChiapas @JLMelenchon @evoespueblo @aragon_jb @DIVIZIO1 @MicaelaTacconi… https://t.co/XPUYeVMfMs;NEU
233;@CruzAzul Prefiero mil veces que perdamos por culpa de Huesca, a qué le sigan dando oportunidades a Mendoza;NEU
234;En el siguiente gráfico interactivo elaborado por la periodista @haydi_carrasco de EL HERALDO Plus, le muestra la t… https://t.co/hPW3UK7yEj;NEU
235;@JosebaComico Yo fui a verla al cine cuando vivía de chaval en Zaragoza. El otro día la intenté volver a ver en Amazon…;NEU
236;@LaloSerranoZ @AGonzaloYanez @Claudiashein @dionelsena @EduardoOrtegaS @otnielgarcia @Sandra12Amaya @c_mont22… https://t.co/cZaDCrRHaK;NEU
237;#EmbarazoAdolescente #Aguascalientes #Jovenes ;NEU
238;Ciudad de México;NEU
239;@bartije que caminen a las 12 am por la merced o Tepito ,iztacalco ,Zaragoza son populistas que se puede esperar de esa lacra;NEU
240;@aragon_maylen Yo si lo hago;NEU
241;@Iguana02195580 Rory Gallagher por suerte nada tenía que ver con los hermanos Gallagher de Oasis, dos moñas que a p… https://t.co/6ixwcZ2kLa;NEU
242;@EVillegasV @PANDurangoCDE @VeroPerezHerr @josejoseantonio @marcelotorresc @CastrellonDgo @londreshunter… https://t.co/hlhj0kTUzc;NEU
243;@migueldelrioabg Empezando por el heraldo....;NEU
244;Miercoles 16-02-2022;NEU
245;Chile;NEU
246;#AHORA | #ElHeraldoRadio ;NEU
247;Tras solicitar al INAI que exhiba datos personales Loret de Mola, el presidente pidió ahora a los periodistas Carme… https://t.co/fAVkiFOtY5;NEU
248;@marcio_teruel @GFasistas @CDeportivoFAS Saludes desde la distancia tigre🔴🔵🐯....!!!;NEU
249;Huesca en 6 minutos se vio mejor que ‘Quick’, lo suyo ya es ridículo, hermano. ;NEU
250;@JTrianaT Y tu te crees tus propias mentiras? Mira. Lo acaba de publicar @heraldodemexico Se te cerró aquellito? ;NEU
251;Distrito Federal, México;NEU
252;@estoyakiok @chikym Goggle está lleno de datos. Si quieres la VERDAD, obvio.;NEU
253;Caracas;NEU
254;@ricardomraphael @AdrianLarisC @heraldodemexico Es una lástima que se dejen amedrentar, nunca más el Heraldo;NEU
255;Pero xq a huevo la condesa, la Roma o Coyoacán? Xq no Tlatelolco, la raza, indios verdes, Aragón? ;NEU
256;Amarillo, TX;NEU
257;@marcio_teruel @CDeportivoFAS Siempre recordaré un par de goles que le hiciste al Aliaza de tiro libre, gracias por ser parte de CD FAS;NEU
258;🇲🇽 U∴T∴O∴A∴A∴G∴I∴;NEU
259;🇲🇽 U∴T∴O∴A∴A∴G∴I∴;NEU
260;98.5 FM - El Heraldo Radio - Heraldo Media Group/ Las Noticias de la Tarde con Jesús Martín Mendoza/… https://t.co/rZ8PgCSax5;NEU
261;¡Al estilo de Twitter! Perfiles de OnlyFans podrán poner un NFT como foto de perfil | Heraldo Binario https://t.co/Aqin981rxd;NEU
262;98.5 FM - El Heraldo Radio - Heraldo Media Group/ Las Noticias de la Tarde con Jesús Martín Mendoza/ @VlzMilagros,… https://t.co/QCAQMOyPO5;NEU
263;@CarLon_2020 Para decir que estuvo buena necesito caerme, golpearme la cabeza y olvidar las actuaciones de Fernando… https://t.co/91SZUNeKxG;NEU
264;"“La investigación de los crímenes del franquismo se ha tratado de entorpecer durante toda la democracia""… https://t.co/9HD8RFh1lN";NEU
265;@EmHasbun @axelsolisrmz @Rayados @heraldodemexico La 99.7 es la estacion de El Heraldo de México ... supongo si le pagan 👍;NEU
266;Ke culiao hace una banda no me enfermaba así de abuso;NEU
267;@gabiciddeleon Dicha mesa del área de lectura del expediente, en ocasiones se mueven demasiado con un mínimo impuls… https://t.co/yHGqEH1lve;NEU
268;#ÚLTIMAHORA 🔴 | Operativo contra el narcomenudeo en Avenida 606 y Calle 611, Colonia San Juan de Aragón 3ª Sección… https://t.co/t0eLktER5T;NEU
269;@ricardomraphael @INEMexico @lopezobrador_ @JesusRCuevas Pero te despidieron de el Heraldo, no? El daño está hecho…… https://t.co/06Ue2IOGbG;NEU
270;@GCarrerita @JosefinaVM Que explique lo del dinero eso urge...hay que devolverle al pueblo lo robado..;NEU
271;Aguascalientes, México;NEU
272;Ya van como 10 veces que le digo a mi mamá que tengo antojos de plátanos fritos y nada mas no me los hace, no hay duda, ya no me quiere;NEU
273;Buenos días, mundo. 🌈😌🌼☕️☕️😘😘;NEU
274;España;NEU
275;🇲🇽 U∴T∴O∴A∴A∴G∴I∴;NEU
276;Puebla, México;NEU
277;@irene7621 Buenas noches, descansa.;NEU
278;No me gusta la carne esmachada, no me gusta la carne molida cuando está muy mojada o muy seca, no me gusta el pollo… https://t.co/EIw6WfnYkC;NEU
279;@maribelalonso @Rubenoficialmx @AsiEsMonterrey No, también los súper mercados el de Gomez Morin, Vasconcelos y Zara… https://t.co/mrxiFoSfN6;NEU
280;@soylaalterna2 No es necesario se ve ....se siente Lucía esta presente..;NEU
281;Lo que ya no encontré en la tele es El Heraldo TV. Estaba en el 8.2 y ya no se ve nada ahí;NEU
282;@ceciescool8 @SofiaJusto AYYYYYYY aún la tienes?  A mí me la robaron en el bosque de Aragón JAJAJAJA;NEU
283;@heraldodemexico @MarinaVitelaGP @EVillegasV Ese Heraldo se pasa de mentiroso, Marina ni en Gómez Palacio ganara 🤷🏽;NEU
