;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
84;humedecido compactado manto espesores 2  100 m  forma fuerte viento NW placas;0;1.0; fuert(1.0) plac(1.0)
85;Hola presento Zaragoza dd Bolivia pasa Buenos Aires si interesa salir;0;1.0; buen(1.0) air(-1.0) interes(1.0)
86;Binéfar celebrará Carnaval infantil juegos  disfraces sorteos;0;1.0; celebr(1.0)
87;Discutirán foro Puebla cómo innovar educación vía;0;1.0; innov(1.0)
88;Zaragoza Si desplome cada día subida VAAAAMOS;0;1.0; sub(1.0)
89;InvisibleO tal bro dices voy bien pase ;0;1.0; bien(1.0)
90;InvisibleO Oye bro dices voy bien pase;0;1.0; bien(1.0)
91;fuerzas estatales federales seguridad lograron detener grupo 70 migrantes municipio Juchi;0;1.0; fuerz(1.0) segur(1.0) logr(1.0)
92;zaragoza Oww gracias ánimos bebek;0;1.0; anim(1.0) beb(1.0)
93;Bueno  voy poner primer  primero  primero  capítulo Pasión Gavilanes  Voy ir comentándo;0;1.0; buen(1.0)
94;Coy beneficios goza o quién padrino o cuánto paga  mecánico ubicado Manuela;0;1.0; benefici(1.0) goz(1.0)
95;m13 pijo importa colonia Aragó;0;1.0; import(1.0)
96;zaragoza 22 Seguro si;0;1.0; segur(1.0)
97;22 Pau  Andrea van disfrutar ;0;1.0; disfrut(1.0)
98;equipo HERALDO Plus muestra siguiente ilustración cantidad asaltos registrados transp;0;1.0; ilustr(1.0)
99;memes libro cocina aragonesa conste salen platos estupendos ;0;1.0; estupend(1.0)
100;activa AlertaAmber localizar menor 17 años edad  nombre Jennifer García Aragón  vista po;0;1.0; activ(1.0)
101;director Heraldo Riva Palacios  Si trata golpeteo experto  broma co;0;1.0; brom(1.0)
102;On ib Box nueva buena  Critical Role;0;1.0; buen(1.0)
103;trasado 1985 ver estreno  entonces vivía Zaragoza 15 años ;0;1.0; viv(1.0)
104;Bueno voy anunciando aquí nuevo proyectito  voy trabajar pueblo Teruel hotelito rural c;0;1.0; buen(1.0)
105;zaragoza 22 Viste especial San Valentín  Quién pudiera ;0;1.0; san(1.0)
106;Vivo Maria Huerva  suelo bajar bici zaragoza trabajar   paseo  vivir Maria;0;1.0; viv(1.0) baj(-1.0) viv(1.0)
107;zaragoza segura    ;0;1.0; segur(1.0)
108;22 Don  t worry baby  salgas festeja mucha delicia turca;0;1.0; don(-1.0) festej(1.0) delici(1.0)
109;22 zaragoza Vos tranquila  acá enseñamos;0;1.0; tranquil(1.0)
110;memes Amor madres;0;1.0; amor(1.0)
111;Neville preguntado dicho válidos  ejemplo  Ana Beltrán no;0;1.0; dich(1.0) val(1.0) no(-1.0)
112;Cali aeronave presentó fractura tren principal izquierdo aterrizaba Aeropuerto Alfonso Bon;0;1.0; principal(1.0)
113;dinosaurios gigantes Teruel Valencia vivieron clima estacional lluvias tipo monzónico;0;1.0; viv(1.0)
114;22 Vale Mañana comemos ;0;1.0; val(1.0)
115;22 zaragoza Bien merecido  tentarme;0;1.0; bien(1.0)
116;Bravo  tve tve parece sólo España existe flamenco  ;0;1.0; brav(1.0)
117;milton Trabajo WTC  estudio Azcapotzalco  vivo Aragón paso nezatl ;0;1.0; viv(1.0)
118;zaragoza 22 Mejor voy trabajar  see;0;1.0; mejor(1.0)
119;hizo gira bodas Teruel hecho rico;0;1.0; ric(1.0)
120;ELECCIONES  PODÍA HABER GANADO ESPAÑA  ABSTENCIÓN  Rafael Dávila Álvarez través;0;1.0; gan(1.0)
121;aragon Buenas noches guapísima;0;1.0; buen(1.0)
122;Zaragoza Quién dicho permitir  Venga  sigue intentándolo ;0;1.0; dich(1.0)
123;zaragoza Encantada;0;1.0; encant(1.0)
124;Zaragoza Lions Valencia Ales Crepuscle aseguran victoria ronda 3 Giraldevoir Madrid Wi;0;1.0; asegur(1.0) victori(1.0)
125;Antonio Angulo Araguás  padre  amigo  jefe bueno;0;1.0; buen(1.0)
126;heraldo casas chicas Morena  casa grande SDPNoticias ;0;1.0; grand(1.0)
127;mandos federales seguridad visita AMLO Heraldo Chihuahua;0;1.0; segur(1.0)
128;Zaragoza usted razón  mejor eche mundo lado gobiernan ustedes ganen o no  ap;0;1.0; mejor(1.0) gan(1.0) no(-1.0)
129;Mañana subido análisis LeganésZaragoza  detalles ;0;1.0; sub(1.0)
130;11  93 billete bus Zaragoza Huesca puta broma;0;1.0; brom(1.0)
131;9 9 ahora vivir mes medio cuento;0;1.0; viv(1.0)
132;wow creo q finde voy vivir felicidad puro o vuelvo pueblo Teruel ganas meterme;0;1.0; viv(1.0) felic(1.0) gan(1.0)
133;Irma dulce  reproducción mercado Halles t;0;1.0; dulc(1.0)
134;Quién dueño Heraldo México   cuales interese;0;1.0; interes(1.0)
135;3 lethal Mallorca mejor  solo aún así peña equivoca;0;1.0; mejor(1.0)
136;MinutoaMinuto  Entrevista Secretario Desarrollo Agropecuario  Pesca Acuacultura GobOax ;0;1.0; desarroll(1.0)
137;Hermano  ánimo  fuerte abrazo;0;1.0; anim(1.0) fuert(1.0)
138;bd bueno Huesca;0;1.0; buen(1.0)
139;Maravillosa naturaleza mano amigo Oscar Tena Garcia  Laguna Gallocanta  provincias;0;1.0; maravill(1.0)
140;Dudo mejor amante;0;1.0; mejor(1.0)
141;Semana clave eLaliga sumamos 4 puntos 6 juego  Contento jugado sobretodo volver;0;1.0; content(1.0)
142;Feliz Tarde Amiga Mhoni Vidente Gracias Enlace Heraldo MhonienHeraldo;0;1.0; feliz(1.0)
143;conferencia matutina acusan Ricardo Raphael recibir dinero INE  14  00 dan gracias;0;1.0; diner(1.0)
144;Aeronave tipo Cessna  matrícula panameña HP1642 presentó fractura tren principal izquie;0;1.0; principal(1.0)
145;Patrimonio Cultural inicia proceso declarar Bien Interés Cultural órganos históricos Aragón;0;1.0; bien(1.0) interes(1.0)
146;Puerto Rico  USA;0;1.0; ric(1.0)
147; Toda actividad política Zaragoza así com;0;1.0; activ(1.0)
148;UMA Antequera pasa cuartos final Copa ganando Zaragoza  Primera División ;0;1.0; gan(1.0)
149;arte  techos Confianza Huesca  Arte bodegones tienda alimentación;0;1.0; confianz(1.0)
150;mal tiempo  sonrisas  buen humor mejor convivencia SemanaBlanca Astún ;0;1.0; mal(-1.0) sonris(1.0) buen(1.0) mejor(1.0)
151;Realizamos traslado interhospitalario paciente trabajo parto  Centro Avanzado Atención Primaria;0;1.0; avanz(1.0)
152;memes OSTIAS  BUENA JAJSHAJJSJ;0;1.0; buen(1.0)
153;memes Bueno  madres conozco;0;1.0; buen(1.0)
154;Quédate dos últimas frases  importantes  Ramón Berengu;0;1.0; import(1.0)
155;Zaragoza huele fuerte increíble ciudad;0;1.0; fuert(1.0)
156;Grande pensar inicios maestro ceremonias Festival;0;1.0; grand(1.0) festiv(1.0)
157;Heraldo haciendo  Gutiérrez Vivó  vez;0;1.0; viv(1.0)
158;Nacional GuardiaNacional INM aseguraron 70 migrantes encontraban resguardados casa art;0;1.0; asegur(1.0)
159; Zaragoza Franquistas vivos  Jajajajajajajaja   mayores 75 años ;0;1.0; viv(1.0)
160;Facultativo Especialista Área Oftalmología  relación definitiva participantes superado proceso;0;1.0; super(1.0)
161; billiw acaso discriminas Huesca algún motivo parte ser tierra vio crecer;0;1.0; crec(1.0)
162;Facultativo Especialista Área Cirugía Pediátrica  relación definitiva participantes superado p;0;1.0; super(1.0)
163;Celebro pacto Ayto Zaragoza Azcon presupuestos Ayuntamiento Zaragoza 2022;0;1.0; celebr(1.0) ayunt(1.0)
164;consiguió victoria contundente 60 frente Publim;0;1.0; victori(1.0)
165;Eva Armisén Zaragoza  Bondad artística Alegría Art Arte;0;1.0; bond(1.0) alegr(1.0)
166;JUEVES 17 Día predominarán cielos despejados  cierzo moderado valle Ebro ;0;1.0; predomin(1.0) ciel(1.0) despej(1.0)
167;Fuertes Imágenes Joven da paliza perrito San Juan Aragón;0;1.0; fuert(1.0) san(1.0)
168;Zaragoza franquistas vivos sabe partido militan  Tampoco condenan dictadura;0;1.0; viv(1.0)
169;Quieres apuntarte prefieres alguien eche mano  Acércate bienestar social  rampa ayunta;0;1.0; bienest(1.0) ayunt(1.0)
170;Facultativo Especialista Área OncologíaRadioterápica  relación definitiva participantes superado;0;1.0; super(1.0)
171;LaChampionsEnHBOMax Saludos Zaragoza  España  saludos Guadalajara  Jalisco ;0;1.0; salud(1.0) salud(1.0)
172;Junior deberá pagar dinero correspondiente seguridad social exjugador  abogados equipo dieron s;0;1.0; diner(1.0) segur(1.0)
173;m13 bien  sigue siendo comunidad Castilla León  históricos;0;1.0; bien(1.0)
174;quedamos  Mejor oferta o anteponer intereses Real Zaragoza ;0;1.0; mejor(1.0) interes(1.0)
175;cuál mejor o mítico pasodoble Juan Carlos Aragón  Leo;0;1.0; mejor(1.0)
176;Diferente lugar misma ilusión seguir mejorando calidad servicios deportivos municipio;0;1.0; mejor(1.0) calid(1.0)
177;ser Buen Restaurante  seguro  ;0;1.0; buen(1.0) segur(1.0)
178;salma Jajajajajajaj grande;0;1.0; grand(1.0)
179;q año pasado ganó carrasca Huesca no  Insuperable ;0;1.0; gan(1.0) no(-1.0) insuper(1.0)
180;Si  si traes Fits Chorry no capaz ganar Burela  voy tener cambiar disc;0;1.0; no(-1.0) gan(1.0) cambi(1.0)
181;vaca marina vivió Huesca hace 42 millones años ;0;1.0; viv(1.0)
182;verdadero placer compartir tertulia política tan magnífica compañía  Fermín Civiac;0;1.0; plac(1.0)
183;ATENTADOS ETA  CIUDADANOS NO GUSTABAN FUERZAS ORDEN PUBLICO  O;0;1.0; no(-1.0) gust(1.0) fuerz(1.0)
184;explica reparto fondos MRR vivienda atenderá calidad;0;1.0; calid(1.0)
185;creéis noticia interés social  interesaría;0;1.0; interes(1.0) interes(1.0)
186;acompañado Director Seguridad ciudadana Tránsito Municip;0;1.0; segur(1.0)
187;Atlético Madrid toca fondo  Levante recupera fe;0;1.0; recuper(1.0)
188;Animo Zaragoza  cuanto remontéis mala racha subiréis seguro;0;1.0; anim(1.0) mal(-1.0) sub(1.0) segur(1.0)
189;Según declaraciones Yarza Periòdico Aragòn  Real Zaragoza cambiará manos cuestiòn horas  finde ;0;1.0; cambi(1.0)
190;explica reparto fondos MRR vivienda atenderá calidad;0;1.0; calid(1.0)
191;final cuestión pelotita  Si dicen 2014 si preferimos empresarios potent;0;1.0; prefer(1.0) potent(1.0)
192;VIVIR CUENTO BASE IMPUESTOS ESPAÑOLES;0;1.0; viv(1.0)
193;Ahora llegamos 1985  año  infamia   celebra Sevilla  Paloma San Basilio Emilio Aragón presen;0;1.0; celebr(1.0) san(1.0)
194;anécdota Torico Teruel encantado  Sarria Sarria;0;1.0; encant(1.0)
195; Saludos Iraís  abrazo regreso  sigamos siendo felices  día vez Saludos Atizapan;0;1.0; salud(1.0) ira(-1.0) felic(1.0) salud(1.0)
196;colores cielo tardesconLola somosdecolores paseandoamissdaisy Capella  Aragon  Spain;0;1.0; ciel(1.0)
197;tamén entendo situación económica non o permite  non vale tolear hipotecarse  Esperemos;0;1.0; val(1.0)
198;251god kväll golesrojillos 4 dia  mas vale tarde nunca dije llego 500 llego 500 sino;0;1.0; val(1.0)
199;m66 Zaragoza Alguien hace menciones Toni cantó habla sabios;0;1.0; sabi(1.0)
200;Prueban eficacia fármaco cáncer infantil agresivo;0;1.0; eficaci(1.0)
201;Alhaurín Grande Málaga;0;1.0; grand(1.0)
202;HISTORIA Hoy repasamos historia pintor zaragozano Mariano Barbasán  importantes finales;0;1.0; import(1.0)
203;Cómo  Acaso aprovechan deshacerse lastre sugerir;0;1.0; aprovech(1.0)
204;bueno;0;1.0; buen(1.0)
205;Hola vez hermosa  espacio  gustado durara  atizapan d;0;1.0; hermos(1.0) gust(1.0) dur(-1.0)
206;Suerte dejarán entrar ;0;1.0; suert(1.0)
207;Aragón gusta complicar cosas;0;1.0; gust(1.0)
208;animas vivir experiencia intensa dos ruedas city  Pues trata hacer recorrido c;0;1.0; anim(1.0) viv(1.0)
209;zagales disfrutaban ;0;1.0; disfrut(1.0)
210;mañana February 17  2022 espera temperatura mínima 5ºC máxima 20  buenas noches;0;1.0; buen(1.0)
211;aragon Gracias  buenas noches ;0;1.0; buen(1.0)
212;mandó Huesca  famosa pastelería  Ascaso  Ricoriquísimo ;0;1.0; famos(1.0)
213;Castillos templarios  pueblos abarrotados patrimonio naturaleza vega sierra deliciosamente intacta;0;1.0; delici(1.0)
214;Aragón dueña gastronomía arraigada tierra  Sabías cardo almendras pla;0;1.0; arraig(1.0)
215;ve bien aficionados Santos viendo va comprar Zaragoza;0;1.0; bien(1.0)
216;final vuelvo 2 semanas vivir zaragoza corazoncito así ;0;1.0; viv(1.0)
217;pandemia hizo dejarlo cajón  hoy llena felicidad poder anunciar volvemos car;0;1.0; llen(1.0) felic(1.0)
218;correcto  vivo Atizapán Zaragoza  Mexico José Ramón López Beltrán vino vari;0;1.0; viv(1.0)
219; Zaragoza sabio señala luna  tonto mira dedo  enga  saludos;0;1.0; sabi(1.0) salud(1.0)
220;PlenoPresupuestos2022   acabó mantra derecha gobierna mejor  Zaragoza ciuda;0;1.0; mejor(1.0)
221;film  Alcarrás  rodado parcialmente Fraga ganado Oso Oro ENHORABUENA;0;1.0; gan(1.0)
222;Acabar formación Zaragoza alumno regale bombones acerq;0;1.0; regal(1.0)
223;plaza Fuerte Calatayud mejorará acera sur  entradas albero zonas ajardinadas;0;1.0; fuert(1.0) mejor(1.0)
224;suerte Zaragoza;0;1.0; suert(1.0)
225;Huesca  Aínsa  Alquezar  Lacuniacha  Jaca  Ordesa  Campo  actividades  cultura  montamos ca;0;1.0; activ(1.0)
226;investigación liderada Sonia Campos revela dinosaurios finales Jurásico vivían zonas cost;0;1.0; viv(1.0)
227;zaragoza Vale;0;1.0; val(1.0)
228;coordinadora estatal Recuperando reivindica cifra asciende 100  000 bienes  cuentan;0;1.0; recuper(1.0) bien(1.0)
229;Aragon Tampoco entendemos permitiendo aprobando;0;1.0; aprob(1.0)
230;Zaragoza psoe ido bien   ;0;1.0; bien(1.0)
231;Previa superar Bidasoa Irun salir 40 20 todas;0;1.0; super(1.0)
232;CasoAbierto Salesianos afirma nadie denunciado supuestos abusos sexuales Zaragoza;0;1.0; sexual(1.0)
233;CRÓNICA nuevo triunfo;0;1.0; triunf(1.0)
234;  boom Llegan Zaragoza gira Efecto Pegatina;0;1.0; boom(1.0)
235;escaladora Silvia Vidal lleva Huesca sincronía mágica;0;1.0; escal(1.0)
236;Atria Innovation crece digitalizacion Tecnologia superando millón euros facturació;0;1.0; crec(1.0) super(1.0)
237; piensen Palmas si relevante principal sumar 3 puntos bien Real Zaragoza ;0;1.0; palm(-1.0) principal(1.0) bien(1.0)
238;Tranquilo ser Zaragoza todavía peor ;0;1.0; tranquil(1.0)
239;tarde cargada noticias  entrevistas incluso algún adelanto moda Aragón  Moda Genel;0;1.0; adelant(1.0)
240;Donostia San Sebastia;0;1.0; san(1.0)
241;Ofertas Trabajo Gestor Seguros Santalucia MONZON  Fijo Variable  Aragon  Seleccionamos personas orientadas  proa;0;1.0; segur(1.0)
242;vaca marina vivió Huesca hace 42 millones años ;0;1.0; viv(1.0)
243;Comienzo viernes colaborar espacio Buenos Días Aragón  9 10h  hora directo;0;1.0; buen(1.0)
244;podían invertir conservatorio profesional Zaragoza O mejor aú;0;1.0; mejor(1.0)
245;viva Teruel existe;0;1.0; viv(1.0)
246;activa AlertaAmber localizar menor 17 años edad  nombre Jennifer García Aragón  vista po;0;1.0; activ(1.0)
247; sinmas viva arago;0;1.0; viv(1.0)
248;Sabias Cantón principal punto entrada importaciones alimentarias China ;0;1.0; sabi(1.0) principal(1.0) import(1.0)
249;zl Vivo Ecatepec trabajo Bosques Aragón;0;1.0; viv(1.0)
250;dónde paras  aquí allá aún resisten  todas formas  internet fácil acced;0;1.0; facil(1.0) acced(1.0)
251;Pinseque  municipio Zaragoza 4  000 habitantes  seduce famosos Cantabria mundo cultura  dep;0;1.0; seduc(1.0) famos(1.0)
252;Disfrute toda belleza buena gente Zaragoza siga difundiendo verdad;0;1.0; disfrut(1.0) buen(1.0)
253;cambios momento frente TERUEL ;0;1.0; cambi(1.0)
254;artes  Eva Armisén Zaragoza  Bondad artística Alegría;0;1.0; bond(1.0) alegr(1.0)
255;DGA espera captar 40 millones ayuntamientos proyectos valorados 120 millones  munici;0;1.0; ayunt(1.0) valor(1.0)
256;zaragoza Seguramente  confirmarán listado pronto  supongo documentales demás p;0;1.0; segur(1.0)
257;dinosaurios Teruel Valencia vivieron clima lluvias monzónicas;0;1.0; viv(1.0)
258;Bing Dwen Dwen  mascota oficial JJOO invierno  producto demandado portales chino;0;1.0; product(1.0)
259;Conocéis Alberite San Juan  pueblo mu majo Zaragoza buenas gentes ofrecen vivienda trabajo si o;0;1.0; san(1.0) buen(1.0)
260;Marta Gastón  consejera Economía  Planificación Empleo  subraya importancia vehículo eléctrico;0;1.0; import(1.0)
261;Espectacular panorámica Catedral San Salvador o  Seo  Zaragoza;0;1.0; san(1.0)
262;Zaragoza ganó PSOE incapaz pactar ciudadanos resto izquierda ;0;1.0; gan(1.0)
263;AutomobilityTrends Marta Gastón  consejera Economía  Planificación Empleo  subraya importa;0;1.0; import(1.0)
264;alumna 3º EPO Cilia Gracia Oliván ganado premio Sueños color Heraldo Aragón Escolar ;0;1.0; gan(1.0)
265;Aar0n Ninguno Reforma  Universal  Heraldo  TvAzteca  televisa  Imagen    ;0;1.0; reform(1.0)
266;Descritas dos nuevas especies setas halladas Parque Grande Zaragoza través;0;1.0; grand(1.0)
267;memes Adoro plato vine vivir provincia Teruel;0;1.0; viv(1.0)
268;Solo queda mes disfrutar nueva edición Muestra Cine realizado Mujeres Huesca ademá;0;1.0; disfrut(1.0)
269;ganas cartel grande plaza grande;0;1.0; gan(1.0) grand(1.0) grand(1.0)
270;Finalmente da partido ganado Juez competición Racing Zaragoza  respeto derecho recurrir ali;0;1.0; gan(1.0)
271; pauvi real lealtad cariño viva Aragó;0;1.0; viv(1.0)
272; concepto España nació conquista Granada Isabel I Fernando II ;0;1.0; conquist(1.0)
273;HFJDKDKF sabes dicho teruel amantes nadie;0;1.0; dich(1.0)
274;Viva Real Zaragoza Mc Donald  s Minnesota;0;1.0; viv(1.0)
275;femenino  séptimo triunfo consecutivo mientras busca refuerzo cubrir baja;0;1.0; triunf(1.0) cubr(1.0) baj(-1.0)
276;VIVA ARAGÓN;0;1.0; viv(1.0)
277;habla exárbitro José Ignacio Bueno Grimal   Fuí valiente arbitraje ;0;1.0; buen(1.0)
278;sala conciertos  Veintiuno  lleva activo nueve años  Cuáles entresijos trabajo programa;0;1.0; activ(1.0)
279;Zaragoza Tan bien peeseoe;0;1.0; bien(1.0)
